,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
52288,1,615,140,205,60,171,20,0.0,0.0,0.0,19
52289,2,605,137,203,55,164,18,0.0,0.0,0.0,28
52290,3,554,87,154,45,210,45,0.0,0.0,0.0,13
52291,4,621,140,200,66,163,33,0.0,0.0,0.0,19
52292,5,445,105,144,46,102,24,0.0,0.0,0.0,24
52293,6,607,118,185,48,210,26,0.0,0.0,0.0,20
52294,7,543,105,168,49,185,21,0.0,0.0,0.0,15
52295,8,740,186,232,70,196,20,0.0,0.0,0.0,36
52296,9,681,152,228,67,195,24,0.0,0.0,0.0,15
52297,10,687,163,218,72,190,26,0.0,0.0,0.0,18
52298,11,779,207,280,98,152,17,0.0,0.0,0.0,25
52299,12,827,224,279,121,162,18,0.0,0.0,0.0,23
52300,13,771,178,239,134,185,11,0.0,0.0,0.0,24
52301,14,614,193,166,145,98,5,0.0,0.0,0.0,7
52302,15,660,143,195,114,176,13,0.0,0.0,0.0,19
52303,16,716,215,228,97,126,18,0.0,0.0,0.0,32
52304,17,873,205,331,112,177,21,0.0,0.0,0.0,27
52305,18,784,241,327,63,95,17,0.0,0.0,0.0,41
52306,19,674,101,238,44,247,29,0.0,0.0,0.0,15
52307,21,697,160,200,110,193,22,0.0,0.0,0.0,12
52308,22,524,136,156,73,135,12,0.0,0.0,0.0,12
52309,24,797,211,284,53,179,28,0.0,0.0,0.0,42
52310,25,807,199,288,72,202,20,0.0,0.0,0.0,26
52311,26,680,166,232,44,172,39,0.0,0.0,0.0,27
52312,27,791,289,242,58,145,28,0.0,0.0,0.0,29
52313,28,607,198,191,32,120,21,0.0,0.0,0.0,45
52314,29,539,192,179,51,84,6,0.0,0.0,0.0,27
52315,31,710,192,236,80,158,24,0.0,0.0,0.0,20
52316,32,693,203,202,83,146,19,0.0,0.0,0.0,40
52317,33,775,226,266,84,142,26,0.0,0.0,0.0,31
52318,35,626,180,231,48,130,19,0.0,0.0,0.0,18
52319,36,706,156,194,115,206,21,0.0,0.0,0.0,14
52320,37,653,213,217,73,108,10,0.0,0.0,0.0,32
52321,38,724,238,225,74,148,19,0.0,0.0,0.0,20
52322,39,644,186,193,71,166,6,0.0,0.0,0.0,22
52323,40,432,137,147,40,81,8,0.0,0.0,0.0,19
52324,41,792,211,248,106,186,16,0.0,0.0,0.0,25
52325,42,677,209,233,65,121,16,0.0,0.0,0.0,33
52326,43,480,152,158,48,82,12,0.0,0.0,0.0,28
52327,45,801,196,288,65,193,18,0.0,0.0,0.0,41
52328,46,792,239,279,91,121,20,0.0,0.0,0.0,42
52329,47,749,242,251,77,129,14,0.0,0.0,0.0,36
52330,48,438,144,168,38,60,10,0.0,0.0,0.0,18
52331,50,170,56,42,25,37,3,0.0,0.0,0.0,7
52332,51,844,343,274,58,125,10,0.0,0.0,0.0,34
52333,52,983,268,434,75,139,15,0.0,0.0,0.0,52
52334,53,664,278,196,77,85,9,0.0,0.0,0.0,19
52335,54,870,335,302,87,106,5,0.0,0.0,0.0,35
52336,55,587,190,223,62,82,5,0.0,0.0,0.0,25
52337,56,754,280,236,74,112,7,0.0,0.0,0.0,45
52338,57,708,235,232,63,135,10,0.0,0.0,0.0,33
52339,58,581,179,187,71,96,5,0.0,0.0,0.0,43
52340,59,628,177,214,60,138,8,0.0,0.0,0.0,31
52341,60,778,241,279,92,121,14,0.0,0.0,0.0,31
